num_critic_for_reviews,actor_1_fb_likes,gross,movie_title,num_voted_users,cast_total_fb_likes,num_user_for_reviews,actor_2_fb_likes,imdb_score,movie_fb_likes,director_name_factorized,actor_2_name_factorized,genres_factorized,actor_1_name_factorized
723.0,1000.0,760505847.0,avatar,886204,4834,3054.0,936.0,7.9,33000,0,0,0,0
302.0,40000.0,309404152.0,pirates_of_the_caribbean__at_world_s_end,471220,48350,1238.0,5000.0,7.1,0,1,1,1,1
602.0,11000.0,200074175.0,spectre,275868,11700,994.0,393.0,6.8,85000,2,2,2,2
813.0,27000.0,448130642.0,the_dark_knight_rises,1144337,106759,2701.0,23000.0,8.5,164000,3,3,3,3
110.0,131.0,23689877.0,star_wars__episode_vii_-_the_force_awakens,8,143,156.0,12.0,7.1,0,4,4,4,4
462.0,640.0,73058679.0,john_carter,212204,1873,738.0,632.0,6.6,24000,5,5,5,5
392.0,24000.0,336530303.0,spider-man_3,383056,46055,1902.0,11000.0,6.2,0,6,6,6,6
324.0,799.0,200807262.0,tangled,294810,2036,387.0,553.0,7.8,29000,7,7,7,7
635.0,26000.0,458991599.0,avengers__age_of_ultron,462669,92000,1117.0,21000.0,7.5,118000,8,8,5,8
375.0,25000.0,301956980.0,harry_potter_and_the_half-blood_prince,321795,58753,973.0,11000.0,7.5,10000,9,9,8,9
673.0,15000.0,330249062.0,batman_v_superman__dawn_of_justice,371639,24450,3018.0,4000.0,6.9,197000,10,10,5,10
434.0,18000.0,200069408.0,superman_returns,240396,29991,2367.0,10000.0,6.1,0,11,11,5,11
403.0,451.0,168368427.0,quantum_of_solace,330784,2023,1243.0,412.0,6.7,0,12,12,9,12
313.0,40000.0,423032628.0,pirates_of_the_caribbean__dead_man_s_chest,522040,48486,1832.0,5000.0,7.3,5000,1,1,1,1
450.0,40000.0,89289910.0,the_lone_ranger,181792,45757,711.0,2000.0,6.5,48000,1,13,10,1
733.0,15000.0,291021565.0,man_of_steel,548573,20495,2536.0,3000.0,7.2,118000,10,14,0,10
258.0,22000.0,141614023.0,the_chronicles_of_narnia__prince_caspian,149922,22697,438.0,216.0,6.6,0,13,15,11,13
703.0,26000.0,623279547.0,the_avengers,995415,87697,1722.0,21000.0,8.1,123000,8,8,5,8
448.0,40000.0,241063875.0,pirates_of_the_caribbean__on_stranger_tides,370704,54083,484.0,11000.0,6.7,58000,14,16,1,1
451.0,10000.0,179020854.0,men_in_black_3,268154,12572,341.0,816.0,6.8,40000,15,17,12,14
422.0,5000.0,255108370.0,the_hobbit__the_battle_of_the_five_armies,354228,9152,802.0,972.0,7.5,65000,16,18,13,15
599.0,15000.0,262030663.0,the_amazing_spider-man,451803,28489,1225.0,10000.0,7.0,56000,17,19,1,16
343.0,891.0,105219735.0,robin_hood,211765,3244,546.0,882.0,6.7,17000,18,20,14,17
509.0,5000.0,258355354.0,the_hobbit__the_desolation_of_smaug,483540,9152,951.0,972.0,7.9,83000,16,18,13,15
251.0,16000.0,70083519.0,the_golden_compass,149019,24106,666.0,6000.0,6.1,0,19,21,15,18
446.0,6000.0,218051260.0,king_kong,316018,7123,2618.0,919.0,7.2,0,16,22,16,19
315.0,29000.0,658672302.0,titanic,793059,45223,2528.0,14000.0,7.7,26000,0,23,17,20
516.0,21000.0,407197282.0,captain_america__civil_war,272670,64798,1022.0,19000.0,8.2,72000,20,24,5,21
377.0,14000.0,65173160.0,battleship,202382,26679,751.0,10000.0,5.9,44000,21,25,18,22
644.0,3000.0,652177271.0,jurassic_world,418214,8458,1290.0,2000.0,7.0,150000,22,26,18,23
750.0,883.0,304360277.0,skyfall,522030,2039,1498.0,563.0,7.8,80000,2,27,2,24
300.0,24000.0,373377893.0,spider-man_2,411164,43388,1303.0,11000.0,7.3,0,6,6,19,6
608.0,21000.0,408992272.0,iron_man_3,557489,30426,1187.0,4000.0,7.2,95000,23,28,5,21
451.0,40000.0,334185206.0,alice_in_wonderland,306320,79957,736.0,25000.0,6.5,24000,24,29,15,1
334.0,20000.0,234360014.0,x-men__the_last_stand,383427,21714,1912.0,808.0,6.8,0,25,30,20,25
376.0,12000.0,268488329.0,monsters_university,235025,14863,265.0,779.0,7.3,44000,26,31,21,26
366.0,894.0,402076689.0,transformers__revenge_of_the_fallen,323207,3218,1439.0,581.0,6.0,0,27,32,5,27
378.0,974.0,245428137.0,transformers__age_of_extinction,242420,3988,918.0,956.0,5.7,56000,27,33,5,28
525.0,44000.0,234903076.0,oz_the_great_and_powerful,175409,73441,511.0,15000.0,6.4,60000,6,34,15,29
495.0,15000.0,202853933.0,the_amazing_spider-man_2,321227,28631,1067.0,10000.0,6.7,41000,17,19,0,16
469.0,12000.0,172051787.0,tron__legacy,264183,25550,665.0,10000.0,6.8,30000,28,35,5,30
304.0,1000.0,191450875.0,cars_2,101178,4482,283.0,919.0,6.3,10000,29,22,22,31
436.0,16000.0,116593191.0,green_lantern,223393,17657,550.0,368.0,5.6,24000,30,36,5,32
453.0,15000.0,414984497.0,toy_story_3,544884,19085,733.0,1000.0,8.3,30000,31,37,21,33
422.0,23000.0,125320003.0,terminator_salvation,286095,27468,974.0,3000.0,6.6,0,32,38,5,34
424.0,26000.0,350034110.0,furious_7,278232,79150,657.0,23000.0,7.2,94000,33,39,23,35
654.0,17000.0,202351611.0,world_war_z,465019,32392,995.0,11000.0,7.0,129000,12,40,24,36
539.0,34000.0,233914986.0,x-men__days_of_future_past,514125,91434,752.0,22000.0,8.0,82000,11,41,20,37
590.0,19000.0,228756232.0,star_trek_into_darkness,395573,21411,1171.0,981.0,7.8,92000,34,42,5,38
338.0,979.0,65171860.0,jack_the_giant_slayer,106416,1766,205.0,557.0,6.3,22000,11,43,13,39
490.0,29000.0,144812796.0,the_great_gatsby,362912,29770,753.0,509.0,7.3,115000,35,44,17,20
306.0,15000.0,90755643.0,prince_of_persia__the_sands_of_time,222403,16149,453.0,567.0,6.6,23000,36,45,19,40
575.0,16000.0,101785482.0,pacific_rim,381148,19166,1106.0,968.0,7.0,83000,37,46,5,41
428.0,894.0,352358779.0,transformers__dark_of_the_moon,326180,2593,899.0,829.0,6.3,46000,27,47,5,27
470.0,11000.0,317011114.0,indiana_jones_and_the_kingdom_of_the_crystal_skull,333847,14959,2054.0,1000.0,6.2,5000,38,48,1,42
298.0,275.0,123070338.0,the_good_dinosaur,62836,696,345.0,150.0,6.8,20000,39,49,21,43
488.0,2000.0,237282182.0,brave,273556,5005,428.0,1000.0,7.2,39000,40,37,21,44
322.0,998.0,130468626.0,star_trek_beyond,53607,1327,432.0,119.0,7.5,30000,41,50,18,45
421.0,1000.0,223806889.0,wall·e,718837,2975,1043.0,729.0,8.4,16000,5,51,25,46
162.0,268.0,140080850.0,rush_hour_3,121084,1125,221.0,268.0,6.2,0,25,52,26,47
367.0,1000.0,166112167.0,2012,283418,2144,1055.0,468.0,5.8,13000,42,53,5,48
240.0,18000.0,137850096.0,a_christmas_carol,72809,48878,249.0,14000.0,6.8,0,43,54,27,49
384.0,17000.0,47375327.0,jupiter_ascending,139593,47334,720.0,15000.0,5.4,44000,44,34,5,50
248.0,11000.0,124051759.0,the_legend_of_tarzan,42372,21175,239.0,10000.0,6.6,29000,9,25,16,2
284.0,1000.0,291709845.0,the_chronicles_of_narnia__the_lion__the_witch_and_the_wardrobe,286506,1317,1463.0,190.0,6.9,0,13,55,15,51
396.0,34000.0,154985087.0,x-men__apocalypse,148379,49684,622.0,13000.0,7.3,54000,11,56,5,37
645.0,23000.0,533316061.0,the_dark_knight,1676169,57802,4667.0,13000.0,9.0,37000,3,57,28,34
408.0,1000.0,292979556.0,up,665575,2635,704.0,848.0,8.3,27000,45,58,29,46
219.0,1000.0,198332128.0,monsters_vs._aliens,114553,2579,187.0,973.0,6.5,0,46,59,30,52
486.0,21000.0,318298180.0,iron_man,696338,39252,1055.0,12000.0,7.9,10000,47,60,5,21
682.0,17000.0,73820094.0,hugo,245333,36017,678.0,16000.0,7.5,42000,48,61,31,53
85.0,10000.0,113745408.0,wild_wild_west,129601,15870,648.0,4000.0,4.8,0,15,62,32,14
264.0,5000.0,102176165.0,the_mummy__tomb_of_the_dragon_emperor,117927,9131,501.0,3000.0,5.2,0,49,63,33,54
418.0,10000.0,161087183.0,suicide_squad,118992,11287,971.0,336.0,6.9,80000,50,64,34,14
186.0,87000.0,100289690.0,evan_almighty,115099,108016,257.0,11000.0,5.4,2000,51,65,35,55
585.0,10000.0,100189501.0,edge_of_tomorrow,431620,12652,741.0,854.0,7.9,77000,52,66,5,56
91.0,711.0,88246220.0,waterworld,144337,1004,309.0,60.0,6.1,0,53,67,18,57
250.0,23000.0,150167630.0,g.i._joe__the_rise_of_cobra,174578,26683,534.0,2000.0,5.8,0,54,68,18,58
536.0,1000.0,356454367.0,inside_out,345198,2944,773.0,767.0,8.3,118000,45,69,36,52
370.0,19000.0,362645141.0,the_jungle_book,106072,32921,398.0,13000.0,7.8,65000,47,70,37,59
